INPUT_TABLE
Variable ID
ElecTPPHeader

sector-name,subsector-name,technology,year
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),1975
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),1990
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2005
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2010
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2015
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2020
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2025
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2030
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2035
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2040
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2045
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2050
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2055
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2060
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2065
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2070
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2075
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2080
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2085
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2090
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2095
elec_coal (IGCC),coal (IGCC),coal (IGCC) (dry cooling),2100
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),1975
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),1990
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2005
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2010
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2015
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2020
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2025
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2030
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2035
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2040
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2045
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2050
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2055
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2060
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2065
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2070
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2075
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2080
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2085
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2090
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2095
elec_coal (IGCC),coal (IGCC),coal (IGCC) (once through),2100
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),1975
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),1990
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2005
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2010
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2015
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2020
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2025
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2030
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2035
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2040
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2045
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2050
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2055
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2060
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2065
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2070
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2075
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2080
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2085
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2090
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2095
elec_coal (IGCC),coal (IGCC),coal (IGCC) (recirculating),2100
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),1975
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),1990
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2005
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2010
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2015
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2020
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2025
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2030
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2035
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2040
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2045
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2050
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2055
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2060
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2065
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2070
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2075
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2080
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2085
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2090
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2095
elec_coal (IGCC),coal (IGCC),coal (IGCC) (seawater),2100
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),1975
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),1990
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2005
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2010
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2015
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2020
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2025
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2030
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2035
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2040
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2045
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2050
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2055
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2060
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2065
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2070
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2075
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2080
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2085
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2090
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2095
elec_coal (conv pul),coal (conv pul),coal (conv pul) (dry cooling),2100
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),1975
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),1990
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2005
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2010
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2015
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2020
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2025
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2030
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2035
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2040
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2045
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2050
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2055
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2060
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2065
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2070
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2075
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2080
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2085
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2090
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2095
elec_coal (conv pul),coal (conv pul),coal (conv pul) (once through),2100
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),1975
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),1990
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2005
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2010
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2015
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2020
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2025
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2030
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2035
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2040
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2045
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2050
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2055
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2060
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2065
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2070
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2075
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2080
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2085
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2090
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2095
elec_coal (conv pul),coal (conv pul),coal (conv pul) (recirculating),2100
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),1975
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),1990
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2005
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2010
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2015
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2020
elec_coal (conv pul),coal (conv pul),coal (conv pul) (seawater),2025
